feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
24563,241,1.454588,1.554316,178,1.684081,1.691638,63,0.806177,0.766325,115,0.877905
6049,398,0.79567,0.744338,256,0.883041,0.800219,142,0.638155,0.599885,114,0.244886
3270,328,0.773564,0.592469,107,0.692061,0.497796,221,0.813025,0.629461,-114,-0.120964
6863,4947,1.787914,0.934977,2530,1.853918,0.91713,2417,1.718823,0.948392,113,0.135096
13651,1725,4.801519,3.191062,919,4.668734,3.139412,806,4.95292,3.242322,113,-0.284186
24434,645,0.560414,0.423519,266,0.554655,0.419792,379,0.564456,0.426068,-113,-0.009801
10587,344,2.502832,2.636986,228,2.815269,2.900765,116,1.888732,1.874458,112,0.926536
14388,2933,2.730983,1.589663,1411,2.79256,1.582559,1522,2.673897,1.594097,-111,0.118663
2597,163,2.241408,1.302434,137,2.20937,1.318283,26,2.410224,1.201485,111,-0.200854
18315,169,1.363945,1.385495,140,1.423752,1.440359,29,1.075219,1.034654,111,0.348533
19134,121,1.864179,1.282653,116,1.867267,1.277878,5,1.792557,1.386901,111,0.074709
1413,148,8.528579,11.476643,19,11.829689,18.852932,129,8.042369,9.844844,-110,3.78732
20367,577,3.765836,3.056459,234,2.741743,2.235241,343,4.464489,3.332116,-109,-1.722746
9220,229,2.03412,2.06756,60,2.27783,2.559332,169,1.947595,1.854294,-109,0.330234
22810,145,1.702383,1.450195,127,1.81754,1.470766,18,0.889888,0.961979,109,0.927652
6126,1130,3.463168,2.889412,618,3.637273,2.80968,512,3.253019,2.969247,106,0.384254
2372,132,5.964273,2.273504,119,6.556937,1.46776,13,0.539118,0.339819,106,6.017819
13092,301,2.947521,3.597779,98,0.948237,0.540237,203,3.912692,4.023772,-105,-2.964455
20529,122,2.798632,1.782665,113,2.948638,1.74987,9,0.915233,0.895939,104,2.033405
1975,487,2.367745,1.750586,295,2.556785,1.745026,192,2.077294,1.719053,103,0.47949
8645,104,2.260711,0.961881,1,2.349123,0.0,103,2.259852,0.966499,-102,0.089271
11430,704,0.879508,0.754397,301,0.757381,0.648363,403,0.970725,0.812864,-102,-0.213343
14097,138,0.866335,0.590446,120,0.923829,0.598651,18,0.48304,0.338571,102,0.440789
22341,936,1.744045,1.416486,519,1.772043,1.442227,417,1.709198,1.382988,102,0.062846
1936,536,1.363185,1.131598,319,1.404533,1.136891,217,1.302402,1.121007,102,0.102131
1451,243,0.846668,0.554584,172,0.95714,0.547223,71,0.579045,0.47542,101,0.378094
19420,119,5.118386,2.167839,9,2.51542,1.361476,110,5.331356,2.081505,-101,-2.815936
