feature_id,count_total,count_happy,count_sad,count_diff,mean_total,mean_happy,mean_sad,mean_diff
16497,45,18,27,-9,1.105064,0.975522,1.191426,-0.215904
16504,13,11,2,9,0.690124,0.714259,0.557379,0.15688
16557,9,0,9,-9,1.008569,0.0,1.008569,-1.008569
16560,81,45,36,9,1.112981,1.183256,1.025138,0.158118
16562,29,10,19,-9,0.955783,1.140758,0.858428,0.28233
16802,13,2,11,-9,1.762653,2.090337,1.703074,0.387263
16843,21,15,6,9,1.60005,1.725899,1.285426,0.440473
16878,51,21,30,-9,1.057014,1.061033,1.054201,0.006832
16917,23,7,16,-9,1.254423,1.118577,1.313855,-0.195278
16955,69,39,30,9,0.728798,0.732435,0.724071,0.008364
16967,9,0,9,-9,1.942069,0.0,1.942069,-1.942069
16986,25,8,17,-9,1.172734,1.144111,1.186205,-0.042094
17099,241,116,125,-9,1.710019,1.56088,1.848419,-0.287539
17173,13,11,2,9,1.364956,1.570907,0.232224,1.338683
17270,33,21,12,9,1.950589,2.505255,0.979924,1.525331
17311,45,18,27,-9,1.483012,1.408489,1.532693,-0.124204
17380,35,22,13,9,1.685609,1.977988,1.190815,0.787173
17477,21,6,15,-9,1.278694,1.547495,1.171173,0.376322
17489,15,12,3,9,1.012588,1.088486,0.708995,0.379492
17612,109,59,50,9,1.559844,1.853118,1.213781,0.639337
17705,11,1,10,-9,1.108034,6.251517,0.593686,5.657831
17718,35,13,22,-9,0.900979,0.817828,0.950114,-0.132286
17727,27,9,18,-9,1.691862,1.674695,1.700445,-0.02575
17833,109,59,50,9,2.277288,2.31571,2.231949,0.083761
17850,35,13,22,-9,0.99383,0.722383,1.15423,-0.431847
17864,111,51,60,-9,0.998689,1.071487,0.93681,0.134677
17883,27,9,18,-9,0.980668,0.84686,1.047572,-0.200712
17890,21,6,15,-9,1.79553,3.329436,1.181967,2.147469
17901,21,6,15,-9,1.007478,0.640698,1.154189,-0.513491
17906,9,9,0,9,1.092233,1.092233,0.0,1.092233
17913,9,0,9,-9,1.420164,0.0,1.420164,-1.420164
17922,19,5,14,-9,1.231302,1.359434,1.18554,0.173894
17947,223,116,107,9,1.822658,1.615618,2.047112,-0.431494
17962,33,21,12,9,1.398833,1.588323,1.067226,0.521097
17969,11,10,1,9,1.014813,1.112733,0.035611,1.077123
17991,17,4,13,-9,2.580116,2.39626,2.636687,-0.240427
18107,53,22,31,-9,1.958432,1.892648,2.005118,-0.112471
18134,335,172,163,9,2.680399,2.738656,2.618925,0.119731
18135,21,6,15,-9,1.535573,1.138886,1.694247,-0.555361
18161,97,44,53,-9,1.070382,1.105914,1.040885,0.065029
18175,25,17,8,9,1.551978,1.647079,1.349889,0.297191
18260,103,47,56,-9,1.457278,1.669821,1.278894,0.390926
18261,29,19,10,9,3.146619,1.497012,6.28087,-4.783858
18305,37,23,14,9,1.46521,1.61423,1.22039,0.39384
18317,23,16,7,9,2.767215,3.726235,0.57517,3.151065
18352,37,14,23,-9,1.756404,1.228575,2.077691,-0.849116
18361,57,24,33,-9,1.03713,1.525278,0.682112,0.843166
18437,59,34,25,9,4.298206,2.690189,6.485109,-3.794921
18442,37,14,23,-9,1.179478,1.286391,1.1144,0.171991
18488,9,0,9,-9,1.493179,0.0,1.493179,-1.493179
18613,69,30,39,-9,2.207647,2.003117,2.364979,-0.361863
18641,105,48,57,-9,1.96008,2.163774,1.788548,0.375226
18688,115,53,62,-9,1.704879,1.936802,1.506623,0.430179
18773,17,13,4,9,1.328233,1.614201,0.398836,1.215365
18822,131,61,70,-9,1.746912,1.642873,1.837575,-0.194702
18874,183,96,87,9,2.133496,2.185828,2.07575,0.110078
18905,31,20,11,9,1.715928,1.770825,1.616116,0.154709
18934,23,16,7,9,2.45657,2.332276,2.74067,-0.408395
19035,23,7,16,-9,1.644342,2.007625,1.485406,0.522218
19061,13,11,2,9,2.218292,2.37302,1.367286,1.005734
19071,71,40,31,9,2.272632,2.266386,2.280693,-0.014307
19121,21,6,15,-9,1.816326,1.842264,1.805952,0.036312
19122,37,14,23,-9,1.580326,2.02049,1.3124,0.70809
19158,27,18,9,9,1.002126,0.862543,1.281293,-0.41875
19186,13,11,2,9,2.496234,2.773896,0.969095,1.804801
19245,19,5,14,-9,0.994631,1.531824,0.802776,0.729048
19283,39,15,24,-9,1.431772,1.580491,1.338823,0.241668
19284,75,42,33,9,0.802118,0.923995,0.647003,0.276993
19325,33,21,12,9,1.460418,1.380951,1.599485,-0.218533
19427,13,11,2,9,2.030084,2.128555,1.488492,0.640063
19488,11,10,1,9,8.316882,9.091293,0.57276,8.518534
19505,41,16,25,-9,1.509474,1.389493,1.586262,-0.196769
19530,57,33,24,9,1.42792,1.648963,1.123985,0.524978
19590,23,7,16,-9,1.071372,1.530749,0.870395,0.660354
19628,17,4,13,-9,1.228965,1.04339,1.286065,-0.242675
19635,15,12,3,9,2.205789,2.411663,1.38229,1.029373
19639,19,5,14,-9,3.05627,3.010169,3.072735,-0.062566
19647,49,29,20,9,1.870937,2.065744,1.588467,0.477277
19649,761,376,385,-9,9.639458,9.492898,9.782591,-0.289693
19689,29,10,19,-9,1.469965,1.513421,1.447093,0.066328
19758,27,18,9,9,1.700279,1.8512,1.398437,0.452763
19780,17,4,13,-9,1.751946,1.241626,1.908968,-0.667342
19882,11,1,10,-9,1.692181,0.385917,1.822808,-1.436891
20082,11,10,1,9,10.013307,10.771579,2.430584,8.340995
20131,47,19,28,-9,0.887937,0.691829,1.021011,-0.329182
20237,47,19,28,-9,0.962389,0.84759,1.040288,-0.192698
20306,9,0,9,-9,3.856157,0.0,3.856157,-3.856157
20317,9,9,0,9,1.209856,1.209856,0.0,1.209856
20386,51,21,30,-9,1.45779,2.010191,1.07111,0.939081
20390,81,36,45,-9,1.584434,1.355601,1.7675,-0.411899
20420,59,34,25,9,2.273598,2.449419,2.034482,0.414937
20455,63,36,27,9,2.030507,2.000517,2.070494,-0.069978
20572,21,6,15,-9,1.018775,1.260211,0.922201,0.33801
20657,23,7,16,-9,1.359046,1.379424,1.350131,0.029293
20856,13,2,11,-9,3.026005,2.378961,3.143649,-0.764688
20913,37,23,14,9,6.32004,7.496375,4.387491,3.108884
21065,35,22,13,9,1.627828,2.052908,0.908463,1.144445
21101,89,49,40,9,1.278966,1.504578,1.00259,0.501988
21132,11,10,1,9,1.696562,1.651528,2.146904,-0.495377
21176,15,12,3,9,2.581175,2.938034,1.153737,1.784297
21278,707,358,349,9,2.585899,2.292062,2.887313,-0.595251
21325,35,13,22,-9,0.954584,0.917222,0.976662,-0.05944
21415,141,75,66,9,1.9898,1.940776,2.04551,-0.104734
21450,45,18,27,-9,1.825354,1.513552,2.033223,-0.519671
21475,31,11,20,-9,2.359126,2.006592,2.553019,-0.546427
21549,35,22,13,9,1.71722,1.778341,1.613784,0.164557
21558,27,18,9,9,1.519641,1.765436,1.028051,0.737384
21572,11,1,10,-9,1.961814,0.734285,2.084567,-1.350283
21577,35,13,22,-9,1.772135,2.374885,1.415965,0.95892
21668,17,13,4,9,2.036065,1.879988,2.543313,-0.663324
21678,33,21,12,9,1.58191,1.859856,1.095506,0.76435
21680,27,9,18,-9,1.515113,1.083072,1.731134,-0.648062
21697,77,43,34,9,1.40405,1.451203,1.344416,0.106786
21728,9,9,0,9,1.93715,1.93715,0.0,1.93715
21743,129,60,69,-9,3.11647,2.838131,3.358504,-0.520373
21747,11,10,1,9,1.372512,1.44463,0.65133,0.793301
21752,11,1,10,-9,0.976696,0.018119,1.072554,-1.054434
21769,41,16,25,-9,1.613084,1.476192,1.700694,-0.224502
22036,75,33,42,-9,1.814513,2.287151,1.443154,0.843997
22149,9,0,9,-9,0.601105,0.0,0.601105,-0.601105
22178,31,11,20,-9,1.423605,1.09594,1.603821,-0.507881
22263,127,59,68,-9,1.699094,1.736836,1.666347,0.07049
22312,19,14,5,9,1.628626,1.63897,1.599665,0.039304
22314,91,41,50,-9,1.784137,1.914752,1.677032,0.23772
22353,205,98,107,-9,2.4801,2.839398,2.151023,0.688375
22566,33,21,12,9,2.136626,2.658722,1.222956,1.435766
22572,17,4,13,-9,1.283117,1.978203,1.069245,0.908959
22610,41,16,25,-9,2.198584,2.342485,2.106487,0.235999
22669,17,13,4,9,1.153472,1.40632,0.331715,1.074605
22720,149,79,70,9,2.50999,2.195974,2.86438,-0.668406
22733,11,1,10,-9,2.109859,1.966754,2.12417,-0.157416
22753,67,29,38,-9,1.33691,1.453605,1.247854,0.20575
22759,63,27,36,-9,1.022189,0.919799,1.098981,-0.179182
22768,59,25,34,-9,1.645267,2.185999,1.247669,0.938329
22809,147,78,69,9,3.040788,3.000016,3.086877,-0.086861
22874,17,4,13,-9,3.087341,1.245833,3.653959,-2.408126
22875,11,1,10,-9,9.952631,0.893364,10.858558,-9.965194
22884,21,6,15,-9,2.846372,3.716121,2.498472,1.217649
22938,19,5,14,-9,1.925243,2.163384,1.840193,0.323192
22951,17,4,13,-9,0.961735,0.462141,1.115456,-0.653314
22970,107,58,49,9,1.359148,1.250965,1.487201,-0.236236
23001,45,27,18,9,2.424042,2.22904,2.716546,-0.487506
23019,17,13,4,9,1.443848,1.646839,0.784128,0.862711
23046,11,10,1,9,0.529294,0.505005,0.772187,-0.267182
23116,11,10,1,9,1.362511,1.439242,0.595197,0.844046
23283,99,45,54,-9,1.406305,1.279202,1.512224,-0.233022
23298,11,10,1,9,1.63031,1.573476,2.198645,-0.625169
23306,95,43,52,-9,1.185403,1.273646,1.112433,0.161213
23355,15,3,12,-9,2.302074,0.979311,2.632764,-1.653453
23412,43,26,17,9,2.441372,2.621771,2.165468,0.456303
23415,59,34,25,9,2.227591,1.874682,2.707546,-0.832865
23457,11,1,10,-9,1.002291,0.641846,1.038335,-0.396489
23458,23,16,7,9,3.191166,3.809893,1.776934,2.032958
23544,31,20,11,9,1.172912,1.322367,0.901175,0.421191
23547,21,15,6,9,5.79364,6.040877,5.175547,0.86533
23548,15,12,3,9,2.623178,2.913658,1.461256,1.452402
23588,59,25,34,-9,2.385637,1.988511,2.677641,-0.68913
23649,123,66,57,9,1.743501,1.951812,1.502299,0.449513
23671,233,121,112,9,2.483184,2.521324,2.44198,0.079345
23680,39,15,24,-9,1.263894,0.816126,1.543749,-0.727623
23733,99,45,54,-9,1.483565,1.397542,1.55525,-0.157708
23773,19,14,5,9,1.419272,1.231092,1.946174,-0.715082
23775,9,0,9,-9,2.323804,0.0,2.323804,-2.323804
23793,23,7,16,-9,1.655299,1.746346,1.615466,0.130881
